self.step_no	last_rec.is_hi	last_rec.is_hi_is_random	last_rec.d_sum	last_rec.d_sqr_sum	last_rec.n	self.evaluation_start_index	n[0]	n[1]	s[0]	s[1]	s2[0]	s2[1]	decision	p_value	d0	d1	math.sqrt(s0)	math.sqrt(s1)
1	True	True	-1.0479202270507812	1.248052155068649	10	0	0	1	0	-1.0479202270507812	0	1.098136802262161	None	None	None	None	None	None
2	False	False	-0.4348437786102295	0.7449382068547834	10	0	1	1	-0.4348437786102295	-1.0479202270507812	0.18908911179602228	1.098136802262161	None	None	None	None	None	None
3	False	True	0.9766601324081421	1.2987831750102856	10	0	2	1	0.5418163537979126	-1.0479202270507812	1.142954126031512	1.098136802262161	None	None	None	None	None	None
4	True	False	0.05647480487823486	1.0386851353747062	10	0	2	2	0.5418163537979126	-0.9914454221725464	1.142954126031512	1.1013262058481956	0	0.27473664322506786	0.2709081768989563	-0.4957227110862732	0.7057519555091858	0.5521975159645081
5	True	True	-0.2418069839477539	1.2045974580694292	10	0	2	3	0.5418163537979126	-1.2332524061203003	1.142954126031512	1.159796823334105	None	None	None	None	None	None
6	False	False	-1.7683396339416504	3.034567590402389	10	0	3	3	-1.2265232801437378	-1.2332524061203003	4.269979187000402	1.159796823334105	0	0.499076174960572	-0.4088410933812459	-0.4110841353734334	0.7925198281524659	0.3298551005787579
7	False	True	3.5648831129074097	2.6866737986159848	10	0	4	3	2.338359832763672	-1.2332524061203003	16.978370795692825	1.159796823334105	None	None	None	None	None	None
8	True	False	-1.3891021013259888	1.7707182481519936	10	0	4	4	2.338359832763672	-2.622354507446289	16.978370795692825	3.0894014712423825	0	0.1868951817862085	0.584589958190918	-0.6555886268615723	1.1405915540784888	0.33791217800899775
9	True	True	0.38490235805511475	2.0620135448084653	10	0	4	5	2.338359832763672	-2.2374521493911743	16.978370795692825	3.2375512964787703	None	None	None	None	None	None
10	False	False	-1.1820894479751587	1.6397056800716001	10	0	5	5	1.1562703847885132	-2.2374521493911743	18.37570625870704	3.2375512964787703	0	0.26892244634660767	0.23125407695770264	-0.44749042987823484	0.9515333419843796	0.3343884621451324
11	False	True	1.0590912103652954	1.2258024211794947	10	0	6	5	2.2153615951538086	-2.2374521493911743	19.497380450580067	3.2375512964787703	None	None	None	None	None	None
12	True	False	-1.3103998899459839	1.6103576932252537	10	0	6	6	2.2153615951538086	-3.547852039337158	19.497380450580067	4.954699168049217	0	0.15009315285928998	0.36922693252563477	-0.5913086732228597	0.7890798287534312	0.30858945142253025
13	False	True	0.02070307731628418	1.910266678858818	10	0	7	6	2.2360646724700928	-3.547852039337158	19.49780906799043	4.954699168049217	None	None	None	None	None	None
14	True	False	1.1679691076278687	1.62337303599692	10	0	7	7	2.2360646724700928	-2.3798829317092896	19.49780906799043	6.318851004422257	0	0.2042178364782004	0.3194378103528704	-0.33998327595846994	0.6687501751705899	0.3621934042976436
15	True	True	-1.8494046926498413	2.046802263833982	10	0	7	8	2.2360646724700928	-4.229287624359131	19.49780906799043	9.73914872161751	None	None	None	None	None	None
16	False	False	1.0365138053894043	0.7370726645563082	10	0	8	8	3.272578477859497	-4.229287624359131	20.572169936753255	9.73914872161751	0	0.10096779507343226	0.40907230973243713	-0.5286609530448914	0.5860498622745735	0.3660427740282072
17	False	True	0.27369093894958496	0.35050499383550004	10	0	9	8	3.546269416809082	-4.229287624359131	20.64707666681636	9.73914872161751	None	None	None	None	None	None
18	True	False	-1.8985347747802734	0.9596822419237014	10	0	9	9	3.546269416809082	-6.127822399139404	20.64707666681636	13.343583012667494	0	0.05458191855141102	0.3940299352010091	-0.6808691554599338	0.5170662481505333	0.3569029153502583
19	True	True	0.9829587936401367	0.8728583922953703	10	0	9	10	3.546269416809082	-5.144863605499268	20.64707666681636	14.309791002661967	None	None	None	None	None	None
20	False	False	-0.7848044633865356	2.1677265824334455	10	0	10	10	2.7614649534225464	-5.144863605499268	21.26299471256779	14.309791002661967	0	0.10228748512262473	0.27614649534225466	-0.5144863605499268	0.4772656591188053	0.35998192625530023
21	False	True	2.9635353088378906	1.324868644486287	10	0	11	10	5.725000262260437	-5.144863605499268	30.04553623929668	14.309791002661967	None	None	None	None	None	None
