self.step_no	last_rec.d_sum_lo	last_rec.d_sqr_sum_lo	last_rec.d_sum_hi	last_rec.d_sqr_sum_hi	last_rec.n	self.evaluation_start_index	n	s[0]	s[1]	s2[0]	s2[1]	decision	p_value	d0	d1	math.sqrt(s0)	math.sqrt(s1)
0	1.0859951972961426	0.5318396799350467	1.0859951972961426	0.5318396799350467	10	0	1	1.0859951972961426	1.0859951972961426	1.1793855685502876	1.1793855685502876	None	None	None	None	None	None
1	0.48265600204467773	0.5423795324304592	0.48265600204467773	0.5423795324304592	10	0	2	1.5686511993408203	1.5686511993408203	1.4123423848600396	1.4123423848600396	None	None	None	None	None	None
2	0.41199159622192383	0.48084123303976867	0.4119720458984375	0.48084997569856114	10	0	3	1.9806427955627441	1.9806232452392578	1.5820794602175283	1.582063351461784	0	0.4999377372521943	0.4473237991333008	0.4473140239715576	0.03533220291137695	0.03534197807312012
3	1.0295312404632568	0.6603283741199562	1.0295312404632568	0.6603283741199562	10	0	4	3.010174036026001	3.0101544857025146	2.6420140353073407	2.6419979265515963	0	0.4999913205857818	0.6413929462432861	0.6413864294687907	0.19513829808844302	0.19514212866572261
4	-0.005713701248168945	0.3332710935449654	-0.005713701248168945	0.3332710935449654	10	0	5	3.004460334777832	3.0044407844543457	2.642046681689294	2.6420305729335496	0	0.4999938299393526	0.47961628437042236	0.4796113967895508	0.21262917489647068	0.21262969310156063
5	0.8997552394866943	0.30981552836277615	0.8997747898101807	0.3098200276037346	10	0	6	3.9042155742645264	3.9042155742645264	3.4516061726730527	3.4516252453115044	0	0.5	0.5636440753936768	0.5636440753936768	0.18489826736489462	0.18490084614858485
6	0.9868254661560059	0.21685460584433258	0.9868254661560059	0.21685460584433258	10	0	7	4.891041040420532	4.891041040420532	4.425430673327071	4.425449745965523	0	0.5	0.6341743071873983	0.6341743071873983	0.16663160898591878	0.1666335166401141
7	1.0161526203155518	0.39815352915007907	1.0161526203155518	0.39815352915007907	10	0	8	5.907193660736084	5.907193660736084	5.457996821101233	5.4580158937396845	0	0.5	0.6887426376342773	0.6887426376342773	0.15103187193460627	0.15103337528675784
8	1.2676475048065186	0.491932438429842	1.2676670551300049	0.4919371927574616	10	0	9	7.1748411655426025	7.174860715866089	7.064927017543425	7.064995656401663	0	0.4999954759460686	0.7611057460308075	0.7611081898212433	0.14948039741672303	0.14948271967424018
9	0.7189066410064697	0.5420907345749697	0.718926191329956	0.54209602996076	10	0	10	7.893747806549072	7.893786907196045	7.5817537760266305	7.58185052498186	0	0.4999908627858247	0.7564169565836588	0.7564213010999892	0.13191267616678484	0.13191465536534558
