self.step_no	last_rec.is_hi	last_rec.is_hi_is_random	last_rec.d_sum	last_rec.d_sqr_sum	last_rec.n	self.evaluation_start_index	n[0]	n[1]	s[0]	s[1]	s2[0]	s2[1]	decision	p_value	d0	d1	math.sqrt(s0)	math.sqrt(s1)
1	False	True	-1.1330857276916504	0.359762515319062	10	0	1	0	-1.1330857276916504	0	1.283883266298517	0	None	None	None	None	None	None
2	True	False	0.15892601013183594	0.17618575836206674	10	0	1	1	-1.1330857276916504	0.15892601013183594	1.283883266298517	0.02525747669642442	None	None	None	None	None	None
3	False	True	0.6909856796264648	0.36581284798717206	10	0	2	1	-0.44210004806518555	0.15892601013183594	1.7613444757473644	0.02525747669642442	None	None	None	None	None	None
4	True	False	0.25809669494628906	0.8242531562501654	10	0	2	2	-0.44210004806518555	0.417022705078125	1.7613444757473644	0.09187138063862221	0	0.36006958605354833	-0.22105002403259277	0.2085113525390625	0.9120357036590576	0.04958534240722656
5	False	True	-0.3625202178955078	1.0261695378140985	10	0	3	2	-0.8046202659606934	0.417022705078125	1.8927653841303709	0.09187138063862221	None	None	None	None	None	None
6	True	False	0.11318349838256836	0.27041520051079715	10	0	3	3	-0.8046202659606934	0.5302062034606934	1.8927653841303709	0.10468188494473907	0	0.24491203391954175	-0.26820675532023114	0.17673540115356445	0.528671415489204	0.042770080823719546
7	False	True	0.27071309089660645	0.2072000526694069	10	0	4	3	-0.5339071750640869	0.5302062034606934	1.9660509617131652	0.10468188494473907	None	None	None	None	None	None
8	True	False	0.6909372806549072	0.6427550635508794	10	0	4	4	-0.5339071750640869	1.2211434841156006	1.9660509617131652	0.5820762107435371	0	0.1858469364391983	-0.13347679376602173	0.30528587102890015	0.3973649397192436	0.1320600742541187
9	False	True	-0.9710252285003662	1.097845416228182	10	0	5	4	-1.5049324035644531	1.2211434841156006	2.9089409560973536	0.5820762107435371	None	None	None	None	None	None
10	True	False	1.3475685119628906	1.5579732334337848	10	0	5	5	-1.5049324035644531	2.568711996078491	2.9089409560973536	2.3980171051774164	0	0.050354069085490276	-0.30098648071289064	0.5137423992156982	0.35042664341040747	0.23220258842419342
11	True	True	-0.9196586608886719	1.8280530629851626	10	0	5	6	-1.5049324035644531	1.6490533351898193	2.9089409560973536	3.2437891577249616	None	None	None	None	None	None
12	False	False	-0.37214767932891846	0.7562870915420632	10	0	6	6	-1.8770800828933716	1.6490533351898193	3.047434851327253	3.2437891577249616	0	0.09682903508688663	-0.3128466804822286	0.27484222253163654	0.2863678623958326	0.3049895994952497
13	True	True	-0.7276958227157593	0.8197848376223789	10	0	6	7	-1.8770800828933716	0.9213575124740601	3.047434851327253	3.7733303681229273	None	None	None	None	None	None
14	False	False	2.1350581645965576	1.6356207691091242	10	0	7	7	0.25797808170318604	0.9213575124740601	7.605908217537674	3.7733303681229273	0	0.4291806564765752	0.03685401167188372	0.13162250178200857	0.4252842380131953	0.2948792726045632
15	False	True	-0.43714773654937744	1.331518282515887	10	0	8	7	-0.1791696548461914	0.9213575124740601	7.797006361107918	3.7733303681229273	None	None	None	None	None	None
16	True	False	-0.5568363666534424	0.8775369035948017	10	0	8	8	-0.1791696548461914	0.3645211458206177	7.797006361107918	4.083397107350734	0	0.4425243613949279	-0.022396206855773926	0.04556514322757721	0.3730423578126528	0.2694832240051562
17	True	True	1.1511037349700928	1.6738599559749048	10	0	8	9	-0.1791696548461914	1.5156248807907104	7.797006361107918	5.408436916012832	None	None	None	None	None	None
18	False	False	-1.5153908729553223	2.2446040900328796	10	0	9	9	-1.6945605278015137	1.5156248807907104	10.093415858944212	5.408436916012832	0	0.22323408399665778	-0.1882845030890571	0.16840276453230116	0.3684493854130965	0.26752989179024816
19	True	True	1.1152446269989014	1.3492780107017381	10	0	9	10	-1.6945605278015137	2.630869507789612	10.093415858944212	6.6522074940627505	None	None	None	None	None	None
20	False	False	-0.819951057434082	0.8212875795532852	10	0	10	10	-2.5145115852355957	2.630869507789612	10.765735595531481	6.6522074940627505	0	0.12066568969492461	-0.2514511585235596	0.26308695077896116	0.3355502735028121	0.2573380840960656
21	False	True	0.01226508617401123	0.3493839697798222	10	0	11	10	-2.5022464990615845	2.630869507789612	10.765886027870337	6.6522074940627505	None	None	None	None	None	None
